"Youtube Comments"
"Sobrang ganda ng sinasabi ni BBM about his father. Makikita mo talaga na sobrang proud siya sa daddy niya. Go BBM for president 2022. I salute you sir specially to your father. I remember when my lola said. Ferdinand marcos is the best president and he really good person he doing a good job."
"Came back to this because now he is the new President of our country. To be honest, I was undecided a few months back but I happened to watch this interview. I was amazed by his sincerity and humility. God bless you, Mr. President. God bless our country."
"I don't regret voting him. Been a silent supporter for a long time and was questioning myself if it is right to stay quiet even if people are throwing, calling them all the bad names in the world. But when he says that ""I have advantage because I know the Truth"" , it made me realize that I did the right thing. Staying quiet and doing nothing doesn't mean your weak, it's just that you know better and you're just doing the right thing than being violent towards your countrymen. God Bless the Philippines and all the Filipinos."
"""I have spent my whole life defending Filipinos, I cannot hurt them now. Put your guns down we're not shooting anyone""
-Ferdinand Marcos. 
Please sabihin niyo sakin, na hindi siya karapat dapat maihimlay sa libingan ng mga bayani 
Been a silent Marcos supporter for such a very long time and I definitely don't regret my vote for him. Set aside all the critics,"
"I feel BBM's honesty for his public service and being proud of Filipinos. May God guide you on how to really revive our nation from the nightmare of poverty, corruption, and illiteracy."
"I'm a Marcos hater then. Since my early childhood I was exposed hearing my father (RIP)and his friends talking about how bad Marcos then. Mga 9 yrs pa lang ako noon and I was not aware then that my father was a member/symphatizer of Hukbalahap syempre that time leftist sila. Nakalakihan ko na ang hatred against Marcoses. I was working in abroad when the hstoric and fateful day, EDSA People's Power erupted. I cried tears of joy seeing those people marching and staying in the streets and more so when Marcoses left the palace. I went home to Philippines and with great hope I applied for work in Malacanan and was hired in RTVM (Presidential Broadcast Staff) Close-on kami ni Tita Cory noon at immuned kami sa mahigpit ng security ng PSG tuwang-tuwa ako noon kasi nakakalapit kami shoulder to shoulder with the president. Then, as ime passed working with RTVM I realized what they were doin. We were told and assigned to do black propagandas against Marcos who at that time matagal ng patay and the family was no longer in power. Naisip ko ano ang saysay ng gingawa namn matagal ng patay si Apo Lakay binubugbog pa namin! I resigned, that was the time I changed my heart. Naisip ko peaceful naman noon kahit may martial law at naisip ko rin na kung di ka naman gumagawa ng masama e bakit ka i-presecute ng gobyerno. We, our family voted for BBM! Happy to see them back. Malacanang Redemption!"
"Ito lang talaga yung politician na wala kang narinig na paninira sa iba napaka humble. kaya sa 2022 saiyo ang boto namin. #BBM2022"
"Just bump into this video right now. Now he is the President of the Philippines. I just realized, my vote was not put to waste. It was a good decision that I voted for him. He is a man of wisdom."
"Wala akong ma afford na salita kundi maraming salamat sa ama mo at sayu. Mananaig parin ang katotohanan at ngayun yun mangyayari. Thank You Miss Toni for allowing us to know more about Marcos. Godblessyou Kaya gusto kong manuod nang Interviews mo kasi you inspire me at good example ka sa amin at lalong lalo na sakin. Godblessusall️"
"When he said ""I have spent my whole life defending Pilipinos I cannot hurt them now""(Put your guns down and we're not shooting anyone)This strikes to the heart talaga masasabi ko talaga literal na ang hirap mahalin ang mga Pilipino  binigay na lahat-lahat kulang pa din ikaw pa masama"
"You can literally see and feel how genuine and honest he is.."
"I will never get tired watching this interview.. thank you Ms Toni for standing up for him ️ Congratulations, PBBM!!! I am one of the 31M and words are not enough to express how grateful and thankful I am to GOD for answering my prayer! May God's blessings come to you a thousand fold and may God guide you and VPIS on this path ️ Sama sama tayong babangon muli! 🇵🇭"
"I felt the sincerity. Talking out of reality. Hindi scripted, hindi plastic. #BBM the next president of the 🇵🇭.. May God guide & bless you po."
"I never regretted that I used my first official vote for President Bong Bong Marcos."
"""I have spent my whole life defending Filipinos, I can't hurt them now."" Words from a great man so much maligned and humiliated by his own countrymen."
"Proud filipino and a part of 31 million history of marcoses! Mabuhay ang pilipino! Mabuhay ang pilipinas!"
"This was the interview that solidified my decision to vote #BBMSARA ️. The first one was his interview with Boy Abunda. Both showed his extensive intellect for Filipino politics."
"This little interview SNOWBALLED, and created a very big LANDSLIDE."
"MY GRANDFATHER WAS A FORMER MAYOR OF TAYTAY, PALAWAN AND I REMEMBER HIM LITERALLY PAINTING A ""VOTE MARCOS"" ON A FLATTED TIN CAN... DI PA USO ANG POSTER NOON... WHEN THE MARCOSES FLED TO HAWAII MY MAMA AND AUNTIES WERE CRYING... MARCOS IS THE BEST... AND LET US ALL HOLD HANDS TOGETHER AND VOTE FOR BONGBONG MARCOS..."
"Everytime i watch President BBM's video nakaka-goosebumps and nakakaiyak. Even nung nanalo sya, i cried. I cried not because i am sad but because i am happy. He deserve it. And now, watching this video made me cry even more. How sincere he is. Minanipula talaga ang history sa schools hahaha. Panahon na ng pagbabago."
"Gandang ganda parin ako sa interview na to! The best! Hindi mag sasawa kahit paulit2 ko pang panuurin. Andami kong natutunan. Wala akong natutunan na hate or hatred. Tunay ngang lumaki sa mabuting pamilya. Dama ko yung katutuhanan. Very natural din sumagot si President Bong Bong. Congratulations President Bong Bong Marcos Jr! I'm so happy and proud na isa ako sa 31 million!️️"
"Pano nya ikwento lahat simula ng bata sya kitang kita kung gaanong naging mabuting tatay si pangulong Ferdinand Marcos. ️️"
